family,provider,symbol,branch_path,main_regime,volatility_bucket,momentum_bucket,trade_count,win_rate,avg_net_return,total_net_return,profit_factor
ob_fvg_confluence_continuation_v1,ibkr,SPY,trend_expansion->high_volatility->up_momentum->ob_fvg_confluence_continuation,trend_expansion,high_volatility,up_momentum,38,0.5263157894736842,-0.001736563045655143,-0.06598939573489544,0.4739883020611913
ob_fvg_confluence_continuation_v1,ibkr,SPY,trend_expansion->normal_volatility->down_or_flat_momentum->ob_fvg_confluence_continuation,trend_expansion,normal_volatility,down_or_flat_momentum,102,0.4411764705882353,-0.0020944237272533606,-0.21363122017984276,0.5211576584285483
ob_fvg_confluence_continuation_v1,ibkr,SPY,trend_expansion->normal_volatility->up_momentum->ob_fvg_confluence_continuation,trend_expansion,normal_volatility,up_momentum,177,0.5141242937853108,-0.0006337068866306896,-0.11216611893363206,0.7784959742348879
ob_fvg_confluence_continuation_v1,yahoo,ES,insufficient_context->unknown_volatility->unknown_momentum->ob_fvg_confluence_continuation,insufficient_context,unknown_volatility,unknown_momentum,1,1.0,0.0022923487794592975,0.0022923487794592975,inf
ob_fvg_confluence_continuation_v1,yahoo,ES,range_or_de_risk->high_volatility->down_or_flat_momentum->ob_fvg_confluence_continuation,range_or_de_risk,high_volatility,down_or_flat_momentum,21,0.23809523809523808,-0.00232839795316586,-0.04889635701648306,0.2120027711250327
ob_fvg_confluence_continuation_v1,yahoo,ES,range_or_de_risk->high_volatility->up_momentum->ob_fvg_confluence_continuation,range_or_de_risk,high_volatility,up_momentum,28,0.42857142857142855,-0.0014949150161075145,-0.04185762045101041,0.5826957114231818
ob_fvg_confluence_continuation_v1,yahoo,ES,range_or_de_risk->normal_volatility->down_or_flat_momentum->ob_fvg_confluence_continuation,range_or_de_risk,normal_volatility,down_or_flat_momentum,56,0.35714285714285715,-0.001429347237542506,-0.08004344530238033,0.5957156843588501
ob_fvg_confluence_continuation_v1,yahoo,ES,range_or_de_risk->normal_volatility->up_momentum->ob_fvg_confluence_continuation,range_or_de_risk,normal_volatility,up_momentum,87,0.40229885057471265,-0.0009481960174172914,-0.08249305351530435,0.6563460707614519
ob_fvg_confluence_continuation_v1,yahoo,ES,trend_expansion->high_volatility->down_or_flat_momentum->ob_fvg_confluence_continuation,trend_expansion,high_volatility,down_or_flat_momentum,28,0.5357142857142857,0.0022037327239864354,0.06170451627162019,1.990870115055298
ob_fvg_confluence_continuation_v1,yahoo,ES,trend_expansion->high_volatility->up_momentum->ob_fvg_confluence_continuation,trend_expansion,high_volatility,up_momentum,15,0.3333333333333333,-0.002297986748436575,-0.03446980122654863,0.1878230358777012
ob_fvg_confluence_continuation_v1,yahoo,ES,trend_expansion->normal_volatility->down_or_flat_momentum->ob_fvg_confluence_continuation,trend_expansion,normal_volatility,down_or_flat_momentum,53,0.4339622641509434,-0.0010308344292887604,-0.0546342247523043,0.7187331640088265
ob_fvg_confluence_continuation_v1,yahoo,ES,trend_expansion->normal_volatility->up_momentum->ob_fvg_confluence_continuation,trend_expansion,normal_volatility,up_momentum,101,0.43564356435643564,-0.0018370710236892212,-0.18554417339261134,0.49029536736719087
order_block_retest_continuation_v1,binance,BTCUSDT,insufficient_context->unknown_volatility->unknown_momentum->order_block_retest_continuation,insufficient_context,unknown_volatility,unknown_momentum,5,0.8,0.01271004146214858,0.0635502073107429,6.542189338972828
order_block_retest_continuation_v1,binance,BTCUSDT,range_or_de_risk->high_volatility->down_or_flat_momentum->order_block_retest_continuation,range_or_de_risk,high_volatility,down_or_flat_momentum,112,0.4017857142857143,-0.0014624685751527212,-0.1637964804171048,0.8398828742540154
order_block_retest_continuation_v1,binance,BTCUSDT,range_or_de_risk->high_volatility->up_momentum->order_block_retest_continuation,range_or_de_risk,high_volatility,up_momentum,113,0.5132743362831859,0.0010850486204898701,0.12261049411535534,1.1694006620378672
order_block_retest_continuation_v1,binance,BTCUSDT,range_or_de_risk->normal_volatility->down_or_flat_momentum->order_block_retest_continuation,range_or_de_risk,normal_volatility,down_or_flat_momentum,511,0.49902152641878667,0.00027656286702236157,0.14132362504842674,1.0392053113206916
order_block_retest_continuation_v1,binance,BTCUSDT,range_or_de_risk->normal_volatility->up_momentum->order_block_retest_continuation,range_or_de_risk,normal_volatility,up_momentum,502,0.4820717131474104,-0.0009310448587747689,-0.467384519104934,0.8885082657468056
order_block_retest_continuation_v1,binance,BTCUSDT,trend_expansion->high_volatility->down_or_flat_momentum->order_block_retest_continuation,trend_expansion,high_volatility,down_or_flat_momentum,197,0.4517766497461929,-0.0035522829179532403,-0.6997997348367883,0.7240570554127114
order_block_retest_continuation_v1,binance,BTCUSDT,trend_expansion->high_volatility->up_momentum->order_block_retest_continuation,trend_expansion,high_volatility,up_momentum,183,0.4644808743169399,-0.00012875307770246093,-0.02356181321955035,0.9842368183529976
order_block_retest_continuation_v1,binance,BTCUSDT,trend_expansion->normal_volatility->down_or_flat_momentum->order_block_retest_continuation,trend_expansion,normal_volatility,down_or_flat_momentum,506,0.4407114624505929,-0.002919859316999239,-1.477448814401615,0.6907670323839022
order_block_retest_continuation_v1,binance,BTCUSDT,trend_expansion->normal_volatility->up_momentum->order_block_retest_continuation,trend_expansion,normal_volatility,up_momentum,663,0.4856711915535445,0.00030128525658616674,0.19975212511662857,1.0367215977544946
order_block_retest_continuation_v1,ibkr,SPY,insufficient_context->unknown_volatility->unknown_momentum->order_block_retest_continuation,insufficient_context,unknown_volatility,unknown_momentum,4,0.25,-0.0014507531329322025,-0.00580301253172881,0.7065342506247936
order_block_retest_continuation_v1,ibkr,SPY,range_or_de_risk->high_volatility->down_or_flat_momentum->order_block_retest_continuation,range_or_de_risk,high_volatility,down_or_flat_momentum,34,0.4411764705882353,0.004508032882525658,0.15327311800587237,2.6506760609497073
order_block_retest_continuation_v1,ibkr,SPY,range_or_de_risk->high_volatility->up_momentum->order_block_retest_continuation,range_or_de_risk,high_volatility,up_momentum,27,0.5925925925925926,0.001258935391022854,0.033991255557617055,1.404401548070208
order_block_retest_continuation_v1,ibkr,SPY,range_or_de_risk->normal_volatility->down_or_flat_momentum->order_block_retest_continuation,range_or_de_risk,normal_volatility,down_or_flat_momentum,83,0.3855421686746988,-0.0006768790627841215,-0.056180962211082076,0.8153947026271801
order_block_retest_continuation_v1,ibkr,SPY,range_or_de_risk->normal_volatility->up_momentum->order_block_retest_continuation,range_or_de_risk,normal_volatility,up_momentum,100,0.51,-0.0001291322900438445,-0.012913229004384451,0.9518261056516447
order_block_retest_continuation_v1,ibkr,SPY,trend_expansion->high_volatility->down_or_flat_momentum->order_block_retest_continuation,trend_expansion,high_volatility,down_or_flat_momentum,65,0.4461538461538462,-0.00011560113707241038,-0.007514073909706674,0.9763042967555947
order_block_retest_continuation_v1,ibkr,SPY,trend_expansion->high_volatility->up_momentum->order_block_retest_continuation,trend_expansion,high_volatility,up_momentum,33,0.5454545454545454,-0.0015392961789830121,-0.0507967739064394,0.5997032079243915
order_block_retest_continuation_v1,ibkr,SPY,trend_expansion->normal_volatility->down_or_flat_momentum->order_block_retest_continuation,trend_expansion,normal_volatility,down_or_flat_momentum,101,0.5148514851485149,-0.0011636580498902013,-0.11752946303891032,0.7356725291258348
order_block_retest_continuation_v1,ibkr,SPY,trend_expansion->normal_volatility->up_momentum->order_block_retest_continuation,trend_expansion,normal_volatility,up_momentum,198,0.48484848484848486,-0.0004880799703613498,-0.09663983413154727,0.8186216476569306
order_block_retest_continuation_v1,yahoo,ES,insufficient_context->unknown_volatility->unknown_momentum->order_block_retest_continuation,insufficient_context,unknown_volatility,unknown_momentum,1,1.0,0.0022923487794592975,0.0022923487794592975,inf
order_block_retest_continuation_v1,yahoo,ES,range_or_de_risk->high_volatility->down_or_flat_momentum->order_block_retest_continuation,range_or_de_risk,high_volatility,down_or_flat_momentum,20,0.25,-0.0030051104811968815,-0.06010220962393763,0.08186653579538984
order_block_retest_continuation_v1,yahoo,ES,range_or_de_risk->high_volatility->up_momentum->order_block_retest_continuation,range_or_de_risk,high_volatility,up_momentum,23,0.43478260869565216,-0.001766000529556228,-0.040618012179793245,0.5748844146673713
order_block_retest_continuation_v1,yahoo,ES,range_or_de_risk->normal_volatility->down_or_flat_momentum->order_block_retest_continuation,range_or_de_risk,normal_volatility,down_or_flat_momentum,69,0.463768115942029,-0.0006002152083544893,-0.04141484937645976,0.807497867847767
order_block_retest_continuation_v1,yahoo,ES,range_or_de_risk->normal_volatility->up_momentum->order_block_retest_continuation,range_or_de_risk,normal_volatility,up_momentum,79,0.3670886075949367,-0.0012826358764874753,-0.10132823424251056,0.5852043450588075
order_block_retest_continuation_v1,yahoo,ES,trend_expansion->high_volatility->down_or_flat_momentum->order_block_retest_continuation,trend_expansion,high_volatility,down_or_flat_momentum,20,0.5,0.004172888498970696,0.08345776997941391,2.932620654353045
order_block_retest_continuation_v1,yahoo,ES,trend_expansion->high_volatility->up_momentum->order_block_retest_continuation,trend_expansion,high_volatility,up_momentum,14,0.42857142857142855,-0.0020304546376991154,-0.028426364927787617,0.3450045618173899
order_block_retest_continuation_v1,yahoo,ES,trend_expansion->normal_volatility->down_or_flat_momentum->order_block_retest_continuation,trend_expansion,normal_volatility,down_or_flat_momentum,62,0.43548387096774194,-0.0009658500491286777,-0.059882703045978015,0.7338343057662609
order_block_retest_continuation_v1,yahoo,ES,trend_expansion->normal_volatility->up_momentum->order_block_retest_continuation,trend_expansion,normal_volatility,up_momentum,114,0.49122807017543857,-0.0007838103473692935,-0.08935437960009947,0.7482324810154315
