market,timeframe,variant_id,bars,trades,mean_profit_ratio,win_rate,net_return_R
BNB/USDT,1h,bear_defensive_long,44504,0,0.0,0.0,0.0
BNB/USDT,1h,sideways_range_reversion,44504,647,-0.0013488067169385694,0.4760432766615147,-0.8726779458592544
BNB/USDT,1h,sideways_breakout_failure,44504,0,0.0,0.0,0.0
BNB/USDT,1h,sideways_compression_carry,44504,722,-0.0009264432860040634,0.42382271468144045,-0.6688920524949338
BNB/USDT,1h,crisis_tail_short,44504,60,0.001689857934169183,0.43333333333333335,0.10139147605015099
BNB/USDT,1h,crisis_defensive_long,44504,0,0.0,0.0,0.0
BNB/USDT,1h,crisis_panic_reversal,44504,27,-0.0030676476935455072,0.4444444444444444,-0.08282648772572869
SOL/USDT,1h,bull_risk_on_momentum_fast,44504,1811,0.0007037647167149913,0.4605190502484815,1.2745179019708492
SOL/USDT,1h,bull_risk_on_pullback,44504,263,0.0038793496474847687,0.5019011406844106,1.0202689572884942
SOL/USDT,1h,bull_crypto_carry,44504,1241,0.0015215102857361672,0.47058823529411764,1.8881942645985834
SOL/USDT,1h,bear_risk_off_short,44504,513,-6.224407049495784e-05,0.47953216374269003,-0.03193120816391337
SOL/USDT,1h,bear_failed_rally_short,44504,64,-0.0036806140878113836,0.421875,-0.23555930161992855
SOL/USDT,1h,bear_defensive_long,44504,0,0.0,0.0,0.0
SOL/USDT,1h,sideways_range_reversion,44504,558,-0.0035092682646106184,0.460573476702509,-1.9581716916527252
SOL/USDT,1h,sideways_breakout_failure,44504,0,0.0,0.0,0.0
SOL/USDT,1h,sideways_compression_carry,44504,610,-0.0015324133058288467,0.4639344262295082,-0.9347721165555964
SOL/USDT,1h,crisis_tail_short,44504,62,0.0033183834328801673,0.5161290322580645,0.20573977283857037
SOL/USDT,1h,crisis_defensive_long,44504,0,0.0,0.0,0.0
SOL/USDT,1h,crisis_panic_reversal,44504,35,-0.01303906347881503,0.34285714285714286,-0.456367221758526
AVAX/USDT,1h,bull_risk_on_momentum_fast,44503,1786,0.0009380305485089316,0.48040313549832026,1.6753225596369519
